,,,,,,
Terms,Coef,SE Coef,95% CI,T-Value,P-Value,VIF
Ardsley,-0.459,0.847,"(-2.118, 1.201)",-0.54,0.588,2.02
Arlington,-0.302,0.62,"(-1.518, 0.914)",-0.49,0.627,15.14
Arlington Heights,-0.38,0.846,"(-2.038, 1.279)",-0.45,0.654,2.02
Armonk,-0.516,0.846,"(-2.175, 1.143)",-0.61,0.542,2.02
Arrington,1.31,0.847,"(-0.350, 2.970)",1.55,0.122,2.02
Asbury,0.401,0.69,"(-0.953, 1.754)",0.58,0.561,4.03
Ash Fork,-0.41,0.847,"(-2.070, 1.249)",-0.48,0.628,2.02
Asheville,0.141,0.657,"(-1.146, 1.429)",0.21,0.83,6.07
Ashland,-0.125,0.624,"(-1.349, 1.098)",-0.2,0.841,13.15
Aston,1.08,0.671,"(-0.235, 2.395)",1.61,0.107,5.07
Astoria,-0.113,0.656,"(-1.400, 1.174)",-0.17,0.863,6.06
Athol,-0.148,0.846,"(-1.807, 1.511)",-0.18,0.861,2.02
Atlanta,0.399,0.606,"(-0.788, 1.587)",0.66,0.51,48.28
Attleboro,-0.336,0.847,"(-1.996, 1.324)",-0.4,0.691,2.02
Auburn,0.972,0.648,"(-0.298, 2.241)",1.5,0.134,7.08
Auburn Hills,-0.351,0.647,"(-1.620, 0.917)",-0.54,0.587,7.07
Augusta,-0.574,0.734,"(-2.012, 0.865)",-0.78,0.434,3.03
Aumsville,-0.144,0.847,"(-1.804, 1.516)",-0.17,0.865,2.02
Aurora,0.592,0.615,"(-0.614, 1.797)",0.96,0.336,20.19
Austin,1.48,0.692,"(0.123, 2.836)",2.14,0.033,4.04
Avon,1.321,0.647,"(0.051, 2.590)",2.04,0.041,7.08
Azalea,-0.328,0.846,"(-1.987, 1.331)",-0.39,0.698,2.02
Baker City,-0.393,0.627,"(-1.621, 0.836)",-0.63,0.531,12.15
Baldwinsville,1.47,0.695,"(0.108, 2.831)",2.12,0.034,4.07
Bandon,-0.222,0.737,"(-1.667, 1.223)",-0.3,0.764,3.06
Bangor,-0.159,0.734,"(-1.598, 1.279)",-0.22,0.828,3.03
Banks,-0.315,0.736,"(-1.757, 1.127)",-0.43,0.669,3.05
Barberton,-0.348,0.846,"(-2.006, 1.310)",-0.41,0.681,2.01
Barboursville,1.253,0.734,"(-0.187, 2.692)",1.71,0.088,3.04
Barnegat,1.175,0.736,"(-0.269, 2.618)",1.59,0.111,3.05
Barnesville,0.164,0.691,"(-1.191, 1.519)",0.24,0.812,4.03
Barrington,-0.453,0.846,"(-2.111, 1.205)",-0.54,0.592,2.02
Basking Ridge,0.474,0.733,"(-0.964, 1.911)",0.65,0.518,3.03
Bastian,-0.402,0.847,"(-2.063, 1.259)",-0.47,0.635,2.02
Bates,-0.269,0.847,"(-1.928, 1.391)",-0.32,0.751,2.02
Bath,0.643,0.734,"(-0.796, 2.082)",0.88,0.381,3.03
Baton Rouge,-0.666,0.844,"(-2.321, 0.988)",-0.79,0.43,2.01
Battle Creek,-0.373,0.846,"(-2.032, 1.285)",-0.44,0.659,2.02
Battle Mountain,-0.118,0.745,"(-1.579, 1.344)",-0.16,0.875,3.13
Bay City,0.085,0.615,"(-1.122, 1.292)",0.14,0.89,20.22
Bay Shore,0.12,0.733,"(-1.318, 1.558)",0.16,0.87,3.03
Bayonne,-0.493,0.848,"(-2.155, 1.170)",-0.58,0.561,2.02
Bayside,-0.269,0.847,"(-1.929, 1.390)",-0.32,0.751,2.02
Bayville,-0.587,0.734,"(-2.025, 0.852)",-0.8,0.424,3.03
Bear Creek,1.702,0.693,"(0.344, 3.061)",2.46,0.014,4.06
Beaver,0.714,0.656,"(-0.573, 2.000)",1.09,0.277,6.06
Beaverton,-0.21,0.647,"(-1.479, 1.060)",-0.32,0.746,7.08
Becket,-0.444,0.846,"(-2.103, 1.215)",-0.52,0.6,2.02
Beckley,-0.379,0.691,"(-1.734, 0.975)",-0.55,0.583,4.03
Bedford,-0.341,0.626,"(-1.568, 0.886)",-0.54,0.586,12.12
Bedminster,-0.486,0.692,"(-1.842, 0.870)",-0.7,0.482,4.04
Belfair,-0.506,0.734,"(-1.945, 0.933)",-0.69,0.491,3.03
Belle Vernon,1.219,0.733,"(-0.218, 2.657)",1.66,0.096,3.03
Bellerose,0.295,0.691,"(-1.060, 1.649)",0.43,0.67,4.03
Belleville,-0.293,0.656,"(-1.579, 0.994)",-0.45,0.656,6.06
Bellevue,-0.188,0.615,"(-1.393, 1.018)",-0.31,0.76,20.19
Bellingham,0.005,0.67,"(-1.309, 1.318)",0.01,0.994,5.06
Bellmawr,-0.394,0.734,"(-1.832, 1.045)",-0.54,0.592,3.03
Bellows Falls,-0.529,0.845,"(-2.186, 1.128)",-0.63,0.531,2.01
Bellwood,0.017,0.734,"(-1.422, 1.456)",0.02,0.982,3.04
Belmont,0.191,0.734,"(-1.248, 1.631)",0.26,0.794,3.04
Belton,-0.602,0.671,"(-1.917, 0.714)",-0.9,0.37,5.07
Belvidere,0.322,0.67,"(-0.992, 1.635)",0.48,0.631,5.05
Bend,-0.34,0.692,"(-1.696, 1.017)",-0.49,0.624,4.05
Bennington,-0.353,0.733,"(-1.790, 1.083)",-0.48,0.63,3.02
Bensalem,-0.493,0.734,"(-1.931, 0.945)",-0.67,0.502,3.03
Bensenville,0.758,0.847,"(-0.902, 2.418)",0.89,0.371,2.02
Benton Harbor,0.761,0.629,"(-0.472, 1.994)",1.21,0.226,11.12
Berkeley,0.237,0.67,"(-1.076, 1.550)",0.35,0.723,5.05
Bernville,1.788,0.734,"(0.348, 3.227)",2.43,0.015,3.04
Berrien Springs,1.493,0.846,"(-0.164, 3.151)",1.77,0.077,2.01
Berwyn,-0.137,0.657,"(-1.424, 1.150)",-0.21,0.835,6.07
Bethesda,-0.417,0.733,"(-1.854, 1.021)",-0.57,0.57,3.03
Bethlehem,1.484,0.692,"(0.127, 2.840)",2.14,0.032,4.05
Bethpage,1.049,0.692,"(-0.308, 2.406)",1.52,0.13,4.04
Beverly,0.515,0.846,"(-1.144, 2.174)",0.61,0.543,2.02
Biddeford,-0.354,0.846,"(-2.013, 1.304)",-0.42,0.675,2.02
Big Pool,-0.323,0.847,"(-1.983, 1.337)",-0.38,0.703,2.02
Big Timber,-0.25,0.846,"(-1.909, 1.409)",-0.3,0.768,2.02
Bigelow,-0.424,0.845,"(-2.081, 1.233)",-0.5,0.616,2.01
Billings,0.083,0.735,"(-1.358, 1.523)",0.11,0.91,3.04
Binghamton,0.73,0.693,"(-0.628, 2.088)",1.05,0.292,4.05
Birmingham,-0.005,0.847,"(-1.665, 1.655)",-0.01,0.995,2.02
Black River Falls,-0.244,0.846,"(-1.903, 1.415)",-0.29,0.773,2.02
Blacksburg,0.825,0.847,"(-0.835, 2.486)",0.97,0.33,2.02
Blackwood,-0.407,0.656,"(-1.694, 0.879)",-0.62,0.535,6.06
Bland,0.604,0.734,"(-0.834, 2.043)",0.82,0.41,3.03
Blandford,-0.395,0.692,"(-1.751, 0.961)",-0.57,0.568,4.04
Bloomingdale,-0.322,0.847,"(-1.982, 1.338)",-0.38,0.704,2.02
Bloomington,1.472,0.734,"(0.032, 2.911)",2,0.045,3.04
Blountsville,-0.199,0.734,"(-1.638, 1.240)",-0.27,0.786,3.04
Blue Ash,1.55,0.846,"(-0.109, 3.208)",1.83,0.067,2.02
Blue Island,-0.36,0.846,"(-2.019, 1.299)",-0.43,0.67,2.02
Blue Lake,1.412,0.738,"(-0.035, 2.858)",1.91,0.056,3.07
Blue River,-0.099,0.629,"(-1.332, 1.134)",-0.16,0.875,11.13
Bluffton,-0.271,0.846,"(-1.930, 1.388)",-0.32,0.749,2.02
Boiceville,1.588,0.847,"(-0.072, 3.248)",1.88,0.061,2.02
Boise,-0.372,0.733,"(-1.810, 1.066)",-0.51,0.612,3.03
Bolton,-0.426,0.848,"(-2.089, 1.236)",-0.5,0.615,2.03
Bonanza,-0.149,0.692,"(-1.505, 1.208)",-0.21,0.83,4.04
Bonifay,-0.303,0.693,"(-1.662, 1.056)",-0.44,0.662,4.06
Bonnieville,-0.481,0.846,"(-2.139, 1.178)",-0.57,0.57,2.02
Boonsboro,1.515,0.847,"(-0.146, 3.175)",1.79,0.074,2.02
Bordentown,-0.145,0.647,"(-1.414, 1.124)",-0.22,0.823,7.07
Boring,-0.233,0.734,"(-1.673, 1.206)",-0.32,0.75,3.04
Bossier City,0.798,0.847,"(-0.863, 2.458)",0.94,0.346,2.02
Boston,-0.194,0.648,"(-1.465, 1.076)",-0.3,0.764,7.1
Bothell,-0.181,0.622,"(-1.400, 1.038)",-0.29,0.771,14.14
Boulder,-0.106,0.647,"(-1.375, 1.162)",-0.16,0.87,7.07
Bow,-0.392,0.67,"(-1.705, 0.921)",-0.59,0.558,5.05
Bowdoinham,-0.413,0.632,"(-1.652, 0.826)",-0.65,0.513,10.11
Bowling Green,1.713,0.847,"(0.054, 3.373)",2.02,0.043,2.02
Boyds,-0.41,0.847,"(-2.070, 1.249)",-0.48,0.628,2.02
Brainerd,0.569,0.847,"(-1.091, 2.230)",0.67,0.501,2.02
Brandon,0.002,0.734,"(-1.436, 1.440)",0,0.998,3.03
Brattleboro,-0.616,0.847,"(-2.276, 1.044)",-0.73,0.467,2.02
Brazil,0.257,0.734,"(-1.182, 1.695)",0.35,0.727,3.03
Brecksville,-0.378,0.847,"(-2.038, 1.281)",-0.45,0.655,2.02
Breezewood,1.239,0.847,"(-0.421, 2.898)",1.46,0.144,2.02
Bremerton,-0.054,0.847,"(-1.715, 1.607)",-0.06,0.949,2.02
Brentwood,0.073,0.733,"(-1.364, 1.510)",0.1,0.921,3.03
Brewer,-0.365,0.848,"(-2.027, 1.296)",-0.43,0.666,2.02
Brewster,-0.219,0.846,"(-1.878, 1.440)",-0.26,0.796,2.02
Bridal Veil,-0.134,0.63,"(-1.368, 1.100)",-0.21,0.831,11.15
Bridgeport,0.383,0.656,"(-0.904, 1.669)",0.58,0.56,6.06
Bridgeton,0.134,0.647,"(-1.135, 1.403)",0.21,0.836,7.08
Bridgeview,0.301,0.844,"(-1.355, 1.956)",0.36,0.722,2.01
Bridgewater,-0.387,0.657,"(-1.675, 0.900)",-0.59,0.555,6.07
Brighton,0.451,0.656,"(-0.835, 1.737)",0.69,0.492,6.06
Brightwood,0.439,0.734,"(-1.000, 1.879)",0.6,0.55,3.04
Bronx,-0.078,0.609,"(-1.273, 1.116)",-0.13,0.898,31.24
Bronxville,-0.409,0.846,"(-2.068, 1.250)",-0.48,0.629,2.02
Brookings,-0.314,0.735,"(-1.754, 1.126)",-0.43,0.669,3.04
Brooklyn,0.264,0.691,"(-1.090, 1.618)",0.38,0.702,4.03
Brookpark,-0.283,0.734,"(-1.722, 1.155)",-0.39,0.699,3.03
Brookston,0.948,0.844,"(-0.707, 2.602)",1.12,0.261,2.01
Brooksville,-0.887,0.734,"(-2.327, 0.552)",-1.21,0.227,3.04
Brookville,-0.405,0.846,"(-2.064, 1.254)",-0.48,0.632,2.02
Broomall,-0.683,0.847,"(-2.344, 0.978)",-0.81,0.42,2.02
Bruceton Mills,-0.329,0.846,"(-1.988, 1.331)",-0.39,0.698,2.02
Brunswick,-0.421,0.623,"(-1.643, 0.801)",-0.68,0.499,14.21
Brush Prairie,0.786,0.846,"(-0.872, 2.445)",0.93,0.353,2.02
Bryant,-0.226,0.848,"(-1.889, 1.436)",-0.27,0.789,2.03
Bryant Pond,-0.328,0.846,"(-1.987, 1.331)",-0.39,0.698,2.02
Buchanan,1.758,0.734,"(0.319, 3.198)",2.39,0.017,3.04
Buffalo,-0.117,0.607,"(-1.307, 1.073)",-0.19,0.847,40.26
Buffalo Grove,-0.199,0.691,"(-1.553, 1.156)",-0.29,0.774,4.03
Buford,0.652,0.734,"(-0.787, 2.091)",0.89,0.374,3.04
Bulls Gap,-0.301,0.659,"(-1.594, 0.991)",-0.46,0.648,6.12
Burlington,1.385,0.67,"(0.072, 2.698)",2.07,0.039,5.05
Burns,-0.366,0.67,"(-1.680, 0.947)",-0.55,0.585,5.05
Burnsville,0.018,0.656,"(-1.268, 1.305)",0.03,0.978,6.06
Burton,-0.1,0.656,"(-1.387, 1.187)",-0.15,0.879,6.06
Butler,1.11,0.731,"(-0.323, 2.544)",1.52,0.129,3.01
Butte Falls,-0.221,0.733,"(-1.659, 1.217)",-0.3,0.763,3.03
Byron Center,0.158,0.734,"(-1.280, 1.597)",0.22,0.829,3.03
Caballo,0.546,0.846,"(-1.113, 2.205)",0.65,0.519,2.02
Cadott,-0.395,0.846,"(-2.054, 1.264)",-0.47,0.64,2.02
Cairo,1.608,0.734,"(0.169, 3.048)",2.19,0.029,3.04
Caledonia,-0.465,0.691,"(-1.820, 0.890)",-0.67,0.501,4.03
Calimesa,0.212,0.736,"(-1.231, 1.656)",0.29,0.773,3.05
Calumet City,-0.241,0.846,"(-1.901, 1.418)",-0.28,0.776,2.02
Camano Island,1.722,0.734,"(0.282, 3.162)",2.34,0.019,3.04
Cambria Heights,0.675,0.734,"(-0.763, 2.114)",0.92,0.357,3.03
Cambridge,-0.527,0.671,"(-1.843, 0.789)",-0.79,0.432,5.07
Camden,-0.122,0.626,"(-1.350, 1.106)",-0.2,0.845,12.14
Camp Sherman,-0.285,0.67,"(-1.598, 1.029)",-0.42,0.671,5.06
Campbellsburg,-0.402,0.847,"(-2.061, 1.258)",-0.47,0.635,2.02
Canby,-0.165,0.847,"(-1.825, 1.495)",-0.19,0.846,2.02
Candia,-0.417,0.847,"(-2.077, 1.243)",-0.49,0.622,2.02
Cannon Beach,-0.309,0.848,"(-1.971, 1.354)",-0.36,0.716,2.03
Canterbury,-0.316,0.641,"(-1.572, 0.940)",-0.49,0.622,8.09
Canton,-0.432,0.64,"(-1.687, 0.823)",-0.67,0.5,8.07
Canyon Country,-0.305,0.606,"(-1.493, 0.884)",-0.5,0.615,53.47
Cape May Court House,0.557,0.733,"(-0.881, 1.994)",0.76,0.448,3.03
Carlisle,-0.252,0.692,"(-1.609, 1.104)",-0.36,0.715,4.04
Carmel,-0.461,0.733,"(-1.899, 0.976)",-0.63,0.529,3.03
Carrollton,-0.353,0.846,"(-2.013, 1.306)",-0.42,0.676,2.02
Carthage,0.786,0.847,"(-0.875, 2.446)",0.93,0.354,2.02
Cary,-0.004,0.641,"(-1.260, 1.253)",-0.01,0.995,8.09
Caryville,0.093,0.692,"(-1.264, 1.450)",0.13,0.893,4.05
Cascade,-0.303,0.846,"(-1.962, 1.356)",-0.36,0.72,2.02
Cascade Locks,-0.238,0.605,"(-1.423, 0.948)",-0.39,0.694,67.41
Caseyville,1.713,0.847,"(0.053, 3.373)",2.02,0.043,2.02
Cassadaga,1.432,0.846,"(-0.226, 3.091)",1.69,0.091,2.02
Castaic,-0.119,0.608,"(-1.310, 1.073)",-0.2,0.845,46.53
Castle Rock,0.215,0.636,"(-1.031, 1.461)",0.34,0.735,9.1
Castleton,-0.443,0.846,"(-2.102, 1.216)",-0.52,0.601,2.02
Castleton On Hudson,1.372,0.671,"(0.057, 2.686)",2.05,0.041,5.06
Catskill,0.323,0.733,"(-1.114, 1.761)",0.44,0.659,3.03
Cedar City,-0.281,0.636,"(-1.527, 0.966)",-0.44,0.659,9.1
Cedar Grove,-0.477,0.846,"(-2.136, 1.182)",-0.56,0.573,2.02
Cedar Rapids,0.612,0.734,"(-0.826, 2.051)",0.83,0.404,3.03
Cedar Valley,-0.448,0.657,"(-1.735, 0.840)",-0.68,0.495,8.5
Cement City,1.642,0.846,"(-0.017, 3.301)",1.94,0.052,2.02
Center Line,0.11,0.733,"(-1.328, 1.547)",0.15,0.881,3.03
Centerville,0.088,0.67,"(-1.225, 1.402)",0.13,0.895,5.05
Central Point,-0.246,0.657,"(-1.534, 1.041)",-0.38,0.708,6.07
Central Square,1.309,0.734,"(-0.129, 2.747)",1.78,0.074,3.03
Centralia,0.326,0.846,"(-1.333, 1.984)",0.38,0.7,2.02
Centreville,0.142,0.692,"(-1.214, 1.498)",0.21,0.837,4.04
Chadds Ford,1.534,0.671,"(0.218, 2.849)",2.29,0.022,5.07
Chalmers,-0.453,0.848,"(-2.115, 1.209)",-0.53,0.593,2.02
Chambers,-0.551,0.847,"(-2.212, 1.109)",-0.65,0.515,2.02
Chambersburg,1.197,0.693,"(-0.161, 2.556)",1.73,0.084,4.06
Chanhassen,-0.436,0.846,"(-2.094, 1.222)",-0.52,0.606,2.01
Chantilly,-0.447,0.846,"(-2.106, 1.212)",-0.53,0.597,2.02
Chapel Hill,0.343,0.637,"(-0.904, 1.591)",0.54,0.59,9.12
Chappaqua,-0.349,0.846,"(-2.008, 1.310)",-0.41,0.68,2.02
Charleroi,0.953,0.641,"(-0.304, 2.210)",1.49,0.137,8.1
Charleston,-0.05,0.626,"(-1.277, 1.177)",-0.08,0.937,12.12
Charlestown,-0.393,0.734,"(-1.831, 1.045)",-0.54,0.592,3.03
Charlotte,-0.196,0.608,"(-1.387, 0.995)",-0.32,0.747,38.3
Charlottesville,1.558,0.846,"(-0.100, 3.216)",1.84,0.065,2.01
Charlton,0.081,0.734,"(-1.358, 1.519)",0.11,0.912,3.03
Chaska,-0.508,0.846,"(-2.167, 1.151)",-0.6,0.548,2.02
Chassell,0.439,0.847,"(-1.222, 2.100)",0.52,0.604,2.02
Chattanooga,-0.16,0.656,"(-1.447, 1.126)",-0.24,0.807,6.06
Chehalis,0.749,0.847,"(-0.911, 2.409)",0.88,0.376,2.02
Cheney,-0.207,0.846,"(-1.865, 1.451)",-0.25,0.806,2.01
Cherry Hill,-0.353,0.691,"(-1.709, 1.002)",-0.51,0.609,4.04
Chesapeake,-0.399,0.656,"(-1.685, 0.888)",-0.61,0.544,6.06
Cheshire,-0.658,0.846,"(-2.317, 1.001)",-0.78,0.437,2.02
Chester,-0.121,0.647,"(-1.390, 1.148)",-0.19,0.852,7.08
Chesterfield,-0.052,0.67,"(-1.365, 1.261)",-0.08,0.938,5.05
Chesterton,0.657,0.732,"(-0.778, 2.092)",0.9,0.369,3.02
Cheswick,-0.314,0.846,"(-1.973, 1.345)",-0.37,0.711,2.02
Chicago,0.17,0.6,"(-1.007, 1.347)",0.28,0.778,196.09
Chicago Ridge,-0.256,0.847,"(-1.917, 1.404)",-0.3,0.762,2.02
Chicopee,-0.312,0.846,"(-1.970, 1.347)",-0.37,0.713,2.02
Chiloquin,-0.242,0.614,"(-1.447, 0.962)",-0.39,0.693,21.21
China Grove,-0.412,0.846,"(-2.071, 1.247)",-0.49,0.626,2.02
Chipley,1.293,0.648,"(0.022, 2.564)",1.99,0.046,7.1
Chippewa Falls,-0.305,0.846,"(-1.964, 1.354)",-0.36,0.719,2.02
Christiansburg,-0.521,0.847,"(-2.181, 1.140)",-0.61,0.539,2.02
Cicero,-0.546,0.846,"(-2.205, 1.112)",-0.65,0.518,2.02
Cincinnati,-0.095,0.606,"(-1.283, 1.093)",-0.16,0.876,46.3
Circle Pines,-0.015,0.734,"(-1.454, 1.423)",-0.02,0.983,3.03
Clackamas,0.004,0.636,"(-1.242, 1.251)",0.01,0.995,9.1
Clarion,1.236,0.846,"(-0.422, 2.895)",1.46,0.144,2.02
Clarksboro,-0.451,0.734,"(-1.889, 0.987)",-0.61,0.539,3.03
Clarksburg,0.574,0.656,"(-0.712, 1.861)",0.88,0.381,6.06
Clarkston,-0.128,0.624,"(-1.351, 1.095)",-0.2,0.838,13.14
Clarksville,0.079,0.733,"(-1.358, 1.516)",0.11,0.914,3.03
Clatskanie,-0.145,0.64,"(-1.400, 1.111)",-0.23,0.821,8.08
Claymont,-0.144,0.847,"(-1.804, 1.516)",-0.17,0.865,2.02
Clayton,-0.265,0.733,"(-1.703, 1.172)",-0.36,0.718,3.03
Cle Elum,0.7,0.692,"(-0.657, 2.057)",1.01,0.312,4.05
Clear Spring,-0.558,0.734,"(-1.997, 0.880)",-0.76,0.447,3.03
Clearfield,-0.323,0.692,"(-1.679, 1.033)",-0.47,0.641,4.04
Clearwater,0.334,0.735,"(-1.108, 1.776)",0.45,0.65,3.05
Clemmons,-0.389,0.846,"(-2.047, 1.270)",-0.46,0.646,2.02
Cleveland,-0.146,0.605,"(-1.332, 1.039)",-0.24,0.809,56.25
Clifton,0.321,0.636,"(-0.926, 1.567)",0.5,0.614,9.1
Clinton,0.636,0.67,"(-0.678, 1.949)",0.95,0.343,5.06
Clinton Township,0.61,0.692,"(-0.745, 1.966)",0.88,0.378,4.04
Clio,-0.474,0.657,"(-1.762, 0.813)",-0.72,0.47,6.07
Cloverdale,0.004,0.605,"(-1.183, 1.190)",0.01,0.995,57.4
Coeur D Alene,-0.414,0.692,"(-1.771, 0.943)",-0.6,0.55,4.05
Cohasset,-0.452,0.846,"(-2.111, 1.207)",-0.53,0.593,2.02
Colchester,-0.4,0.847,"(-2.060, 1.261)",-0.47,0.637,2.02
Colfax,-0.451,0.846,"(-2.110, 1.208)",-0.53,0.594,2.02
Coloma,-0.34,0.734,"(-1.779, 1.098)",-0.46,0.643,3.03
Colonial Heights,1.218,0.848,"(-0.443, 2.880)",1.44,0.151,2.02
Colorado Springs,0.025,0.67,"(-1.289, 1.338)",0.04,0.971,5.06
Columbia,-0.05,0.636,"(-1.296, 1.197)",-0.08,0.938,9.1
Columbus,0.067,0.602,"(-1.113, 1.248)",0.11,0.911,105.84
Concord,0.17,0.636,"(-1.076, 1.417)",0.27,0.789,9.1
Contoocook,-0.301,0.656,"(-1.588, 0.985)",-0.46,0.646,6.06
Convent,1.319,0.734,"(-0.120, 2.757)",1.8,0.072,3.03
Conyers,0.704,0.61,"(-0.492, 1.899)",1.15,0.249,34.42
Coolidge,-0.011,0.639,"(-1.265, 1.242)",-0.02,0.986,9.2
Coopersville,0.382,0.847,"(-1.278, 2.043)",0.45,0.652,2.02
Coos Bay,-0.334,0.655,"(-1.618, 0.950)",-0.51,0.61,6.04
Copley,-0.72,0.735,"(-2.162, 0.721)",-0.98,0.327,3.04
Coquille,-0.225,0.67,"(-1.539, 1.090)",-0.34,0.738,5.06
Corbett,0.953,0.67,"(-0.360, 2.266)",1.42,0.155,5.05
Corfu,0.762,0.734,"(-0.676, 2.201)",1.04,0.299,3.03
Corona,-0.35,0.691,"(-1.705, 1.005)",-0.51,0.613,4.04
Cortlandt Manor,-0.337,0.846,"(-1.995, 1.320)",-0.4,0.69,2.01
Cosmopolis,1.093,0.848,"(-0.568, 2.755)",1.29,0.197,2.02
Cottage Grove,-0.098,0.692,"(-1.454, 1.258)",-0.14,0.887,4.04
Council,-0.416,0.846,"(-2.074, 1.243)",-0.49,0.623,2.02
Council Bluffs,-0.324,0.847,"(-1.985, 1.337)",-0.38,0.702,2.02
Coupeville,0.968,0.641,"(-0.288, 2.224)",1.51,0.131,8.09
Covington,0.9,0.611,"(-0.298, 2.099)",1.47,0.141,27.28
Cranberry Township,0.486,0.845,"(-1.171, 2.143)",0.58,0.565,2.01
Cranford,0.32,0.847,"(-1.341, 1.981)",0.38,0.706,2.02
Cranston,-0.419,0.658,"(-1.708, 0.871)",-0.64,0.524,6.09
Crawford,-0.639,0.859,"(-2.323, 1.045)",-0.74,0.457,2.08
Creedmoor,0.226,0.656,"(-1.061, 1.513)",0.34,0.73,6.06
Crescent,-0.261,0.846,"(-1.921, 1.398)",-0.31,0.757,2.02
Crescent Valley,-0.24,0.661,"(-1.536, 1.057)",-0.36,0.717,7.38
Cromwell,-0.484,0.846,"(-2.143, 1.175)",-0.57,0.568,2.02
Crossville,-0.351,0.847,"(-2.011, 1.308)",-0.41,0.678,2.02
Crum Lynne,-0.374,0.846,"(-2.033, 1.285)",-0.44,0.659,2.02
Cullman,-0.112,0.671,"(-1.426, 1.203)",-0.17,0.868,5.06
Culver,-0.456,0.848,"(-2.119, 1.208)",-0.54,0.591,2.03
Cumberland,-0.416,0.847,"(-2.076, 1.244)",-0.49,0.623,2.02
